Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20160047,21148,2016,1/28/2016 8:00 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT TERMINAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BEAUMONT,JEFFERSON,TX,30.010784,-94.058079,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.1,,0.1,0,NO,NO,NO,,,0,,,,,,,,,,,,,10000,6,0,0,5000,0,15006
20160038,21193,2016,1/28/2016 9:00 PM,39080,GLASS MOUNTAIN PIPELINE,TROJAN INJECTION STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MUTUAL,WOODWARD,OK,36.162774,-97.113141,ALL OTHER CAUSES,MISCELLANEOUS,20,,20,0,NO,NO,YES,1/28/2016 21:00,2/8/2016 16:00,0,,,,,,,,,,,,,0,600,1400,0,28600,0,30600
20160058,21177,2016,1/29/2016 10:00 AM,300,"PLAINS PIPELINE, L.P.",FT LARAMIE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,FORT LARAMIE,GOSHEN,WY,42.12294,-104.30346,CORROSION,EXTERNAL,0.36,,0.36,0,NO,NO,NO,,,0,,,,,,,,,,,,,500,50,0,500,1000,0,2050
20160049,21152,2016,1/29/2016 10:20 AM,15674,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BATON ROUGE,EAST BATON ROUGE,LA,30.54775,-91.169104,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.02,,1.02,0,NO,NO,NO,,,0,,,,,,,,,,,,,350,40,0,9100,0,0,9490
20160051,21889,2016,1/29/2016 2:40 PM,31189,BP PIPELINE (NORTH AMERICA) INC.,MOKENA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MOKENA,WILL,IL,41.5543361,-87.8866028,CORROSION,INTERNAL,0.59,,0.59,0,NO,NO,NO,,,0,,,,,,,,,,,,,50000,15,0,3000,22000,0,75015
20160061,21505,2016,1/30/2016 8:35 AM,2552,COLONIAL PIPELINE CO,"LINE 02, LOC 0402",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PELHAM,SHELBY,AL,33.28139,-86.75917,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.02,,2.9,0.12,NO,NO,YES,2/1/2016 7:38,2/2/2016 3:33,0,,,,,,,,,,,,,125000,300,250000,275000,75000,0,725300
20160029,21143,2016,1/31/2016 1:05 PM,39090,"NUTAAQ PIPELINE, LLC",NUTAAQ - BADAMI SALES PIPELINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,NORTH SLOPE BOROUGH,AK,70.10762,-147.38633,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.01,,0.01,0,NO,NO,YES,1/31/2016 13:05,1/31/2016 15:10,0,,,,,,,,,,,,,0,2,0,1800,0,0,1802
20160060,21187,2016,2/1/2016 11:57 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,SUPERIOR,DOUGLAS,WI,46.68329,-92.05718,ALL OTHER CAUSES,MISCELLANEOUS,104,,104,0,NO,NO,NO,,,0,,,,,,,,,,,,,1992,20,0,11142,9610,0,22764
20160062,21541,2016,2/3/2016 8:15 AM,18718,SUNOCO PIPELINE L.P.,CORSICANA STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,CORSICANA,NAVARRO,TX,32.07056,-96.4742,CORROSION,INTERNAL,4,,0.5,3.5,NO,NO,NO,,,0,,,,,,,,,,,,,22350,101,0,7500,12500,0,42451
20160052,21156,2016,2/3/2016 6:00 PM,12470,MID - VALLEY PIPELINE CO,LIMA TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LIMA,ALLEN,OH,40.70498,-84.12751,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.2,,1.2,0,NO,NO,YES,2/3/2016 18:00,2/4/2016 11:45,0,,,,,,,,,,,,,1000,0,0,10000,4000,0,15000
20160066,21202,2016,2/7/2016 8:15 AM,300,"PLAINS PIPELINE, L.P.",GOLDSMITH STATION,ONSHORE,TANK,CRUDE OIL,,,GOLDSMITH,ECTOR,TX,31.136868,-102.192539,CORROSION,INTERNAL,300,,300,0,NO,NO,NO,,,0,,,,,,,,,,,,,30000,1120,0,9960,0,2000,43080
20160091,21274,2016,2/7/2016 8:45 AM,32537,WYOMING PIPELINE COMPANY,WYOMING PIPELINE COMPANY,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,WESTON,WY,43.832639,-104.31971,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,80,,70,10,NO,NO,NO,,,0,,,,,,,,,,,,,0,420,3200,400,0,0,4020
20160053,21880,2016,2/8/2016 2:00 PM,30834,TIDELANDS OIL PRODUCTION COMPANY,XY TO ZWP OIL SHIPPING LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LONG BEACH,LOS ANGELES,CA,33.764961,-118.209047,CORROSION,INTERNAL,0.5,0,0.5,0,NO,NO,YES,2/8/2016 14:15,2/9/2016 16:00,0,,,,,,,,,,,,,1000,15,0,3000,0,0,4015
20160048,21149,2016,2/8/2016 7:40 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT CRUDE TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,BEAUMONT,JEFFERSON,TX,30.008867,-94.054261,INCORRECT OPERATION,INCORRECT INSTALLATION,1,,1,0,NO,NO,YES,2/8/2016 19:40,2/8/2016 21:00,0,,,,,,,,,,,,,1500,30,0,0,8000,0,9530
20160068,21208,2016,2/10/2016 8:15 AM,2552,COLONIAL PIPELINE CO,REMINGTON STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,MIDLAND,FAUQUIER,VA,38.55560816,-77.70980577,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.5,,1.5,0,NO,NO,NO,,,0,,,,,,,,,,,,,100,50,0,0,1000,0,1150
20160063,21192,2016,2/10/2016 1:25 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,LEBANON TERMINAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,LEBANON,WARREN,OH,39.484724,-84.222653,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,69,,69,0,NO,NO,YES,2/10/2016 13:25,2/22/2016 11:00,0,,,,,,,,,,,,,19000,2523,0,0,76229,0,97752
20160064,21728,2016,2/11/2016 8:30 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BEAUMONT,JEFFERSON,TX,30.01372,-94.055864,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0.1,,0,0.1,NO,NO,YES,2/11/2016 13:01,,0,,,,,,,,,,,,,465816,5,0,0,5000,0,470821
20160069,21441,2016,2/11/2016 9:20 AM,18718,SUNOCO PIPELINE L.P.,"TRUSCOTT TO CHILDRESS 10""",ONSHORE,UNDERGROUND,CRUDE OIL,,,CHILDRESS,CHILDRESS,TX,34.32184,-100.24492,CORROSION,EXTERNAL,20,,5,15,NO,NO,YES,2/11/2016 9:32,2/15/2016 16:20,0,,,,,,,,,,,,,75000,341,0,30000,262899,0,368240
20160211,21491,2016,2/11/2016 7:55 PM,39264,"FRONTIER ENERGY SERVICES, L.L.C.",HOLLY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,EDDY,NM,32.063649,-104.1339,INCORRECT OPERATION,INCORRECT VALVE POSITION,100,,40,60,NO,NO,NO,,,0,,,,,,,,,,,,,0,3000,0,105000,80000,0,188000
